comment,sentiment
真的感觉他是故意让尸体被发现，故意去机场被抓的，太可怕了。。,0
面相看着就不是善茬,0
畜生 自己亲生母亲都杀。,0
活久见！！一直关注这个案子，希望尽快解谜！到底什么原因杀害母亲！,0
事实说明 高智商的人一旦犯罪就会化身犯罪高手，他身上的故事太多了 希望死刑之前能讲讲清楚,1
你妈妈十月怀胎 辛辛苦苦命悬一线生下你这样一个魔鬼 畜生！下辈子你不配做人 下地狱让你生不如死！,0
为什么发信息给他舅舅,1
能逃一千多天，反侦察还是蛮厉害的,1
养儿如此不如不养，很多被父母强烈约束的孩子都有反社会人格，看似乖巧，说不定什么时候就爆发了[皱眉],1
居然用的是父母姓，太让人寒心了,0
唉，真不知道脑子怎么想的，这么好的前途被浪费了，想在他死刑前知道他弑母动机是什么,0
感觉他脸上的气质在变，从一个还能看出正气的少年变成了一个有猥琐和小偷气质的人。,1
说实话，能从亲戚朋友借144万，干点什么不行啊，做点小买卖什么的，不像我的亲戚借一万都费劲，一个比一个穷甚至有的还欠我家钱呢，,1
“北大学子”在我们心中是我国年轻人中的佼佼者，所以戴上“北大”这个帽子让此事更加博人眼球。但我认为此事的着重点不应该在此，更应让人关注的应该是这是一个什么样的孩子，被杀的是一个怎么样的母亲，何种动机能让其有如此决心杀害自己的血亲，几近完美的犯罪的背后又隐藏着什么？,1
畜生 自己亲生母亲都杀。,0
这居情比好莱坞电影恐怖,0
小三一生黑,0
还有脸出来 也不怕被人打,0
为什么都出轨了还不分手？我的妈呀,0
这翻译……水平太辣鸡了……开后门的嘛？？？,0
请停止你们的侵权行为！,0
对她好点,1
为什么都出轨了还不分手？我的妈呀,0
有担当一男的,1
好惨一男的啊,0
要幸福哦！,1
公开了！祝福！,1
好甜,1
好甜,1
好甜,1
好甜,1
好甜,1
哈哈哈，无限祝福！幸福美好！,1
祝福！,1
恭喜！,1
酸了,1
我好酸啊,1
不要脸,0
酸,1
祝福祝福,1
