comment,sentiment
哈哈,1
今年赶上沙尘暴没？我离开的那天，不能呼吸，我能拍照，不敢说话，黑城在风沙中被淹没[衰],0
这是带头要让人民币升值啊！,0
[蜡烛],0
邻居妈妈有两个孩子，男宝宝好像是四岁了，经常喜欢在他妈妈开门的时候学着样子来敲我家的门，好几次都被吓一跳，隔着门会听到他妈妈不厌其烦地说＂宝宝这不是我们家的门你再敲就会有大灰狼出来吃你！＂，结果今天回家早在楼道碰到了男宝宝盯着我跟他妹小声说了句＂大灰狼变的..＂我瞬间石化[泪][泪],0
不存在！[哈哈],1
边间公司感X爱国啊！！！,0
竟然有这种动画片，太有创意了你绝对没看过！！！[晕]http://sinaurl.cn/GwmIv,0
是【后37集】，也就是【4-40集】的公式，不是【第37集】啊华罗庚们！#我们文科生的表述真的弱爆了#[泪],0
[泪]我是小清新,0
"谁欺负双鱼座,俺就和他玩儿命!!![抓狂]",0
刚才饿死，现在撑死，又没吃成火锅[泪],0
物以类聚，人以群分，今天我才知道，其实，我原本不该属于你！[衰],0
[泪]:【未能刊登出来的文字】7月22日，暴雨后，杜伟和哥哥找遍沿途的所有医院、派出所、灾民安置点，没有郑冬洁的消息。他们的报警求助被房山推给丰台，又由丰台推回房山；7月23日，哥俩儿守在京港澳高速救援现场，被告知不准拍照，不准录像，不准到高处，唯独没人告知“郑冬洁”在哪儿。,0
视觉角度的欺骗[晕],0
男朋友的责任[怒]中枪的转。。。。。。众男人，看了以后还想找女朋友吗[偷笑],0
回复:最近各种晕~连好声音都忘记看了[悲伤]睡~,0
是金子在哪儿都吃光！,0
[黑线],0
[怒],0
感觉好高级[挖鼻屎],0
好像被消失了。。[疑问][疑问],0
回复:万一点儿不正仲麽办？[悲伤]让P君再单独给莪买一张吧。。[害羞]然后你给写……[偷笑],0
加建……[抓狂][抓狂][抓狂][抓狂],0
[蜡烛],0
小丸子好像是我的同学啊！故乡一样，年龄也差不多[嘻嘻],0
回复:按照活动规则，转发的多了，既有机会获得。,0
从来都要求带着镣铐跳舞。。。[晕],0
[泪]老师一路走好[心],0
开始一点一点整理办公室，才发现还有很多鸡毛蒜皮小事要处理掉。[晕]再把我劈成几瓣吧,0
你还挺能转换的。,0
良心泯灭啊！！！[怒][怒][怒],0
我又不争气的哭了…[泪],0
哈子，你????噻。[哼],0
Mew和Tong竟然没有在一起，怎么能怎么能[抓狂],0
"[衰]oh,no!!!",0
到底要把自己的内心修炼的多么强大，多么无坚不摧呀！勇气，勇气，刚找回来的一点勇气又瞬间消失了。[抓狂],0
又到了每月一次的开奖日，两年多了，每月26号我都期盼着不再见到“审核通过”这四个字，结果今天又见到了。[泪],0
[泪]感动,0
难道胶片时代真的要过去了吗？[汗][晕],0
七夕的夜，有绿叶无鲜花[衰]...[泪],0
杆头打飞了。[泪],0
苛捐杂税猛于虎[衰],0
靠谱吗？？？！！为什么我看不见的是5？？？？[泪],0
看韩剧看得无法自拔[伤心],0
